Genre,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Action,1,6,5,5,1,1,6,2,2,1,2,1,1,3,1,2,7,12,16,12,24,37,75,93,86,116,97,126,128,169,140,158,161,73,115,127
Adventure,0,0,0,1,0,0,0,1,0,0,0,1,2,1,0,4,8,6,11,6,9,11,20,11,24,25,34,36,63,59,58,42,16,22,33,17
Fighting,1,0,0,0,0,0,0,2,0,0,0,1,3,5,14,18,21,13,24,16,18,13,31,21,23,28,32,26,29,27,17,24,10,9,11,6
Misc,4,0,0,1,1,0,0,0,0,1,0,0,2,0,3,13,8,5,8,16,8,13,23,31,38,58,53,85,113,107,89,103,25,21,24,24
Platform,0,2,4,5,0,4,4,1,4,2,3,5,6,7,7,7,10,10,14,10,19,23,53,55,51,58,39,27,29,25,19,27,9,25,10,9
Puzzle,0,1,2,1,2,3,0,0,1,5,2,3,5,2,2,7,4,10,9,3,6,9,11,6,14,16,21,29,25,29,15,16,2,3,7,4
Racing,0,1,1,0,3,0,1,0,1,0,2,1,1,1,7,9,12,19,29,33,28,51,63,69,42,43,61,65,46,55,38,45,23,13,15,8
Role-Playing,0,0,0,0,0,0,1,0,0,0,0,0,0,3,9,11,8,11,6,12,14,20,33,35,38,40,60,63,68,60,66,50,43,46,57,37
Shooter,2,4,5,1,2,1,2,2,1,1,0,3,2,1,7,18,6,11,8,12,7,11,40,40,41,68,42,48,55,60,55,67,26,38,35,24
Simulation,0,1,0,0,0,1,0,0,1,0,1,2,1,0,4,6,4,10,3,8,5,9,10,18,11,28,30,54,67,65,37,25,5,8,8,7
Sports,1,3,2,1,2,1,1,3,1,3,1,4,0,5,12,14,29,24,42,36,45,65,130,87,78,85,92,103,127,94,97,56,27,30,26,29
Strategy,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,5,3,9,13,6,7,9,4,23,15,12,23,35,23,32,28,16,3,13,1,9
